community,role,model,trained_on_community,heldout_n,heldout_R,heldout_rmse,casf_ood_n,casf_ood_R,casf_ood_sd,dock_ood_n,dock_ood_top1,dock_ood_top3,screen_ood_n,screen_ood_top1,screen_ood_ef1,casf_all_R,casf_all_sd,casf_all_spearman,dock_all_top1,dock_all_top3,screen_all_top1,screen_all_ef1
1nvq,ood,ood_1nvq,no,2492,0.6298,1.176,50,0.667,1.21,50,10,44,10,10,1.25,0.782,1.35,0.669,18.9,45.6,5.3,0.78
1nvq,ref_cleansplit,cleansplit,yes,2492,0.7941,0.8892,50,0.791,1,50,16,44,10,10,2.78,0.791,1.33,0.678,23.2,47,7,2.08
1nvq,ref_pdbbind,pdbbind,yes,2492,0.7805,0.9177,50,0.81,0.95,50,18,50,10,10,2.78,0.809,1.28,0.709,23.5,42.1,8.8,1.98
1sqa,ood,ood_1sqa,no,643,0.7141,1.416,24,0.902,1.11,25,20,40,5,0,4,0.798,1.31,0.705,21.4,43.2,3.5,1.3
1sqa,ref_cleansplit,cleansplit,yes,643,0.85,1.062,24,0.896,1.14,25,12,52,5,0,0,0.791,1.33,0.678,23.2,47,7,2.08
1sqa,ref_pdbbind,pdbbind,yes,643,0.8414,1.095,24,0.895,1.15,25,24,44,5,20,3.33,0.809,1.28,0.709,23.5,42.1,8.8,1.98
2p15,ood,ood_2p15,no,426,0.3793,1.504,15,0.605,1.37,15,13.3,40,3,33.3,3.7,0.781,1.36,0.696,21.4,46,7,1.69
2p15,ref_cleansplit,cleansplit,yes,426,0.7706,0.961,15,0.694,1.24,15,26.7,46.7,3,33.3,3.7,0.791,1.33,0.678,23.2,47,7,2.08
2p15,ref_pdbbind,pdbbind,yes,426,0.7458,0.9737,15,0.734,1.17,15,26.7,40,3,33.3,3.7,0.809,1.28,0.709,23.5,42.1,8.8,1.98
2vw5,ood,ood_2vw5,no,171,0.6051,1.197,10,0.845,0.97,10,10,60,2,50,7.14,0.797,1.31,0.698,21.4,46.3,7,1.54
2vw5,ref_cleansplit,cleansplit,yes,171,0.7259,1.012,10,0.653,1.38,10,10,20,2,0,7.14,0.791,1.33,0.678,23.2,47,7,2.08
2vw5,ref_pdbbind,pdbbind,yes,171,0.7116,1.034,10,0.628,1.42,10,30,30,2,0,0,0.809,1.28,0.709,23.5,42.1,8.8,1.98
3dd0,ood,ood_3dd0,no,410,0.3336,1.852,4,0.991,0.4,4,25,100,1,100,16.67,0.805,1.29,0.709,20.7,44.6,7,1.07
3dd0,ref_cleansplit,cleansplit,yes,410,0.7618,1.135,4,0.624,2.28,4,50,100,1,100,16.67,0.791,1.33,0.678,23.2,47,7,2.08
3dd0,ref_pdbbind,pdbbind,yes,410,0.7303,1.185,4,0.955,0.87,4,50,100,1,100,16.67,0.809,1.28,0.709,23.5,42.1,8.8,1.98
3f3e,ood,ood_3f3e,no,363,0.4202,1.576,5,-0.12,1.34,5,80,80,1,0,20,0.786,1.34,0.685,20,45.6,7,1.51
3f3e,ref_cleansplit,cleansplit,yes,363,0.7588,1.134,5,-0.301,1.29,5,100,100,1,0,20,0.791,1.33,0.678,23.2,47,7,2.08
3f3e,ref_pdbbind,pdbbind,yes,363,0.7356,1.197,5,0.68,0.99,5,60,100,1,0,20,0.809,1.28,0.709,23.5,42.1,8.8,1.98
3o9i,ood,ood_3o9i,no,310,0.3858,1.915,5,0.676,2.17,5,0,60,1,0,14.29,0.798,1.31,0.693,22.1,45.3,5.3,1.35
3o9i,ref_cleansplit,cleansplit,yes,310,0.7202,1.227,5,0.793,1.79,5,20,40,1,100,14.29,0.791,1.33,0.678,23.2,47,7,2.08
3o9i,ref_pdbbind,pdbbind,yes,310,0.6971,1.248,5,0.863,1.49,5,20,40,1,100,14.29,0.809,1.28,0.709,23.5,42.1,8.8,1.98
